 DEBUG root [2018-06-03 13:30:02,250] - ClientSDK::saveFile(): D:\MJ_client\MJClient\Assets\Script\usdSDK/EntityCallAccountBase.cs
 DEBUG root [2018-06-03 13:30:02,250] - ClientSDK::writeEntityModule(): D:\MJ_client\MJClient\Assets\Script\usdSDK//CheckName
 DEBUG root [2018-06-03 13:30:02,250] - ClientSDK::saveFile(): D:\MJ_client\MJClient\Assets\Script\usdSDK/CheckNameBase.cs
 DEBUG root [2018-06-03 13:30:02,251] - ClientSDK::saveFile(): D:\MJ_client\MJClient\Assets\Script\usdSDK/EntityCallCheckNameBase.cs
 DEBUG root [2018-06-03 13:30:02,251] - ClientSDK::writeEntityModule(): D:\MJ_client\MJClient\Assets\Script\usdSDK//Halls
 DEBUG root [2018-06-03 13:30:02,252] - ClientSDK::saveFile(): D:\MJ_client\MJClient\Assets\Script\usdSDK/HallsBase.cs
 DEBUG root [2018-06-03 13:30:02,252] - ClientSDK::saveFile(): D:\MJ_client\MJClient\Assets\Script\usdSDK/EntityCallHallsBase.cs
 DEBUG root [2018-06-03 13:30:02,252] - ClientSDK::writeEntityModule(): D:\MJ_client\MJClient\Assets\Script\usdSDK//Room
 DEBUG root [2018-06-03 13:30:02,253] - ClientSDK::saveFile(): D:\MJ_client\MJClient\Assets\Script\usdSDK/RoomBase.cs
 DEBUG root [2018-06-03 13:30:02,254] - ClientSDK::saveFile(): D:\MJ_client\MJClient\Assets\Script\usdSDK/EntityCallRoomBase.cs
 DEBUG root [2018-06-03 13:30:02,254] - Script::uninstall_py_dlls(): PyInit_pyexpat
 DEBUG root [2018-06-03 13:30:02,254] - Script::uninstall_py_dlls(): PyInit__socket
 DEBUG root [2018-06-03 13:30:02,254] - Script::uninstall_py_dlls(): PyInit__ssl
 DEBUG root [2018-06-03 13:30:02,254] - Script::uninstall_py_dlls(): PyInit__hashlib
 DEBUG root [2018-06-03 13:30:02,254] - Script::uninstall_py_dlls(): PyInit_select
 DEBUG root [2018-06-03 13:30:02,254] - Script::uninstall_py_dlls(): PyInit__ctypes
 DEBUG root [2018-06-03 13:30:02,255] - Script::uninstall_py_dlls(): PyInit__elementtree
 DEBUG root [2018-06-03 13:30:02,255] - Script::uninstall_py_dlls(): PyInit_unicodedata
  INFO root [2018-06-03 13:30:02,274] - Script::uninstall(): is successfully!
 DEBUG root [2018-06-03 13:30:02,274] - ThreadPool::destroy(): starting size 2.
  WARN root [2018-06-03 13:30:02,574] - ThreadPool::destroy(): waiting for thread(2)[0x4ff758,0x4ff6f0,], try=1
 DEBUG root [2018-06-03 13:30:02,974] - TPThread::~TPThread(): 0x4ff758
 DEBUG root [2018-06-03 13:30:02,974] - TPThread::~TPThread(): 0x4ff6f0
 DEBUG root [2018-06-03 13:30:02,974] - ThreadPool::destroy(): successfully!
 DEBUG root [2018-06-03 13:30:03,013] - Bundle::destroyObjPool(): size 10.
 DEBUG root [2018-06-03 13:30:03,014] - Channel::destroyObjPool(): size 0.
 DEBUG root [2018-06-03 13:30:03,014] - TCPPacket::destroyObjPool(): size 0.
 DEBUG root [2018-06-03 13:30:03,014] - UDPPacket::destroyObjPool(): size 0.
 DEBUG root [2018-06-03 13:30:03,015] - EndPoint::destroyObjPool(): size 0.
 DEBUG root [2018-06-03 13:30:03,015] - Address::destroyObjPool(): size 0.
 DEBUG root [2018-06-03 13:30:03,015] - TCPPacketReceiver::destroyObjPool(): size 0.
 DEBUG root [2018-06-03 13:30:03,016] - UDPPacketReceiver::destroyObjPool(): size 0.
  INFO root [2018-06-03 13:30:03,016] - tool(0) has shut down. ClientSDK=1
  INFO root [2018-06-03 13:30:04,017] - EventDispatcher()::~EventDispatcher: Num timers = 2
  INFO root [2018-06-03 13:42:00,596] - 
  INFO root [2018-06-03 13:42:00,598] - -----------------------------------------------------------------------------------------


  INFO root [2018-06-03 13:42:00,598] - Resmgr::initialize: KBE_ROOT=E:/kbengine/
  INFO root [2018-06-03 13:42:00,598] - Resmgr::initialize: KBE_RES_PATH=E:/kbengine/kbe/res/;E:/kbengine/assets/;E:/kbengine/assets/scripts/;E:/kbengine/assets/res/
  INFO root [2018-06-03 13:42:00,598] - Resmgr::initialize: KBE_BIN_PATH=E:/kbengine/kbe/bin/server/
  INFO root [2018-06-03 13:42:00,603] - NetworkInterface::initialize(INTERNAL): bound to all interfaces with default route interface on 192.168.0.103 ( 192.168.0.103:64808 )
  INFO root [2018-06-03 13:42:00,603] - NetworkInterface::initialize(INTERNAL): address 192.168.0.103:64808, SOMAXCONN=5.
  INFO root [2018-06-03 13:42:00,607] - ---- tool Version: 2.0.0. ScriptVersion: 0.1.0. Protocol: F217117F928F68467C45B47BA31B1B8B. Config: Debug X86. Built: 23:53:49 May  8 2018. AppID: 0. UID: 7113. PID: 18288 ----
  INFO root [2018-06-03 13:42:00,607] - Server : Intel(R) Xeon(R) CPU E3-1230 v3 @ 3.30GHz with 4194303kB RAM
  INFO root [2018-06-03 13:42:00,608] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2018-06-03 13:42:00,608] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
 DEBUG root [2018-06-03 13:42:00,749] - Script::install_py_dlls(): PyInit_pyexpat
 DEBUG root [2018-06-03 13:42:00,749] - Script::install_py_dlls(): PyInit__socket
 DEBUG root [2018-06-03 13:42:00,750] - Script::install_py_dlls(): PyInit__ssl
 DEBUG root [2018-06-03 13:42:00,752] - Script::install_py_dlls(): PyInit__hashlib
 DEBUG root [2018-06-03 13:42:00,753] - Script::install_py_dlls(): PyInit_select
 DEBUG root [2018-06-03 13:42:00,753] - Script::install_py_dlls(): PyInit__ctypes
 DEBUG root [2018-06-03 13:42:00,753] - Script::install_py_dlls(): PyInit__elementtree
 DEBUG root [2018-06-03 13:42:00,781] - Script::install_py_dlls(): PyInit_unicodedata
  INFO root [2018-06-03 13:42:00,809] - Script::install(): is successfully, Python=(3.4.2 (default, May  8 2018, 23:53:43) [MSC v.1913 32 bit (Intel)])!
  INFO root [2018-06-03 13:42:00,809] - Script::install(): KBExtra is successfully!
 DEBUG root [2018-06-03 13:42:01,120] - ClientSDK::writeServerErrorDescrsModule(): D:\MJ_client\MJClient\Assets\Script\usdSDK//ServerErrorDescrs.cs
 DEBUG root [2018-06-03 13:42:01,121] - ClientSDK::saveFile(): D:\MJ_client\MJClient\Assets\Script\usdSDK/ServerErrorDescrs.cs
 DEBUG root [2018-06-03 13:42:01,121] - ClientSDK::writeEngineMessagesModule(): D:\MJ_client\MJClient\Assets\Script\usdSDK//Messages.cs
 DEBUG root [2018-06-03 13:42:01,124] - ClientSDK::saveFile(): D:\MJ_client\MJClient\Assets\Script\usdSDK/Messages.cs
 DEBUG root [2018-06-03 13:42:01,126] - ClientSDK::saveFile(): D:\MJ_client\MJClient\Assets\Script\usdSDK/KBETypes.cs
 DEBUG root [2018-06-03 13:42:01,127] - ClientSDK::writeEntityDefsModule(): D:\MJ_client\MJClient\Assets\Script\usdSDK//EntityDef.cs
 DEBUG root [2018-06-03 13:42:01,129] - ClientSDK::saveFile(): D:\MJ_client\MJClient\Assets\Script\usdSDK/EntityDef.cs
 DEBUG root [2018-06-03 13:42:01,130] - ClientSDK::saveFile(): D:\MJ_client\MJClient\Assets\Script\usdSDK/CustomDataTypes.cs
 DEBUG root [2018-06-03 13:42:01,130] - ClientSDK::writeEntityModule(): D:\MJ_client\MJClient\Assets\Script\usdSDK//Account
 DEBUG root [2018-06-03 13:42:01,131] - ClientSDK::saveFile(): D:\MJ_client\MJClient\Assets\Script\usdSDK/AccountBase.cs
 DEBUG root [2018-06-03 13:42:01,132] - ClientSDK::saveFile(): D:\MJ_client\MJClient\Assets\Script\usdSDK/EntityCallAccountBase.cs
 DEBUG root [2018-06-03 13:42:01,132] - ClientSDK::writeEntityModule(): D:\MJ_client\MJClient\Assets\Script\usdSDK//CheckName
 DEBUG root [2018-06-03 13:42:01,133] - ClientSDK::saveFile(): D:\MJ_client\MJClient\Assets\Script\usdSDK/CheckNameBase.cs
 DEBUG root [2018-06-03 13:42:01,134] - ClientSDK::saveFile(): D:\MJ_client\MJClient\Assets\Script\usdSDK/EntityCallCheckNameBase.cs
 DEBUG root [2018-06-03 13:42:01,134] - ClientSDK::writeEntityModule(): D:\MJ_client\MJClient\Assets\Script\usdSDK//Halls
 DEBUG root [2018-06-03 13:42:01,134] - ClientSDK::saveFile(): D:\MJ_client\MJClient\Assets\Script\usdSDK/HallsBase.cs
 DEBUG root [2018-06-03 13:42:01,135] - ClientSDK::saveFile(): D:\MJ_client\MJClient\Assets\Script\usdSDK/EntityCallHallsBase.cs
 DEBUG root [2018-06-03 13:42:01,135] - ClientSDK::writeEntityModule(): D:\MJ_client\MJClient\Assets\Script\usdSDK//Room
 DEBUG root [2018-06-03 13:42:01,136] - ClientSDK::saveFile(): D:\MJ_client\MJClient\Assets\Script\usdSDK/RoomBase.cs
 DEBUG root [2018-06-03 13:42:01,136] - ClientSDK::saveFile(): D:\MJ_client\MJClient\Assets\Script\usdSDK/EntityCallRoomBase.cs
 DEBUG root [2018-06-03 13:42:01,137] - Script::uninstall_py_dlls(): PyInit_pyexpat
 DEBUG root [2018-06-03 13:42:01,137] - Script::uninstall_py_dlls(): PyInit__socket
 DEBUG root [2018-06-03 13:42:01,137] - Script::uninstall_py_dlls(): PyInit__ssl
 DEBUG root [2018-06-03 13:42:01,137] - Script::uninstall_py_dlls(): PyInit__hashlib
 DEBUG root [2018-06-03 13:42:01,137] - Script::uninstall_py_dlls(): PyInit_select
 DEBUG root [2018-06-03 13:42:01,137] - Script::uninstall_py_dlls(): PyInit__ctypes
 DEBUG root [2018-06-03 13:42:01,137] - Script::uninstall_py_dlls(): PyInit__elementtree
 DEBUG root [2018-06-03 13:42:01,137] - Script::uninstall_py_dlls(): PyInit_unicodedata
  INFO root [2018-06-03 13:42:01,145] - Script::uninstall(): is successfully!
 DEBUG root [2018-06-03 13:42:01,145] - ThreadPool::destroy(): starting size 2.
  WARN root [2018-06-03 13:42:01,445] - ThreadPool::destroy(): waiting for thread(2)[0x719b78,0x719b10,], try=1
 DEBUG root [2018-06-03 13:42:01,845] - TPThread::~TPThread(): 0x719b78
 DEBUG root [2018-06-03 13:42:01,845] - TPThread::~TPThread(): 0x719b10
 DEBUG root [2018-06-03 13:42:01,845] - ThreadPool::destroy(): successfully!
 DEBUG root [2018-06-03 13:42:01,862] - Bundle::destroyObjPool(): size 10.
 DEBUG root [2018-06-03 13:42:01,863] - Channel::destroyObjPool(): size 0.
 DEBUG root [2018-06-03 13:42:01,863] - TCPPacket::destroyObjPool(): size 0.
 DEBUG root [2018-06-03 13:42:01,863] - UDPPacket::destroyObjPool(): size 0.
 DEBUG root [2018-06-03 13:42:01,863] - EndPoint::destroyObjPool(): size 0.
 DEBUG root [2018-06-03 13:42:01,864] - Address::destroyObjPool(): size 0.
 DEBUG root [2018-06-03 13:42:01,864] - TCPPacketReceiver::destroyObjPool(): size 0.
 DEBUG root [2018-06-03 13:42:01,864] - UDPPacketReceiver::destroyObjPool(): size 0.
  INFO root [2018-06-03 13:42:01,864] - tool(0) has shut down. ClientSDK=1
  INFO root [2018-06-03 13:42:02,864] - EventDispatcher()::~EventDispatcher: Num timers = 2
  INFO root [2018-06-10 11:33:39,786] - 
  INFO root [2018-06-10 11:33:39,795] - -----------------------------------------------------------------------------------------


  INFO root [2018-06-10 11:33:39,826] - Resmgr::initialize: KBE_ROOT=E:/kbengine/
  INFO root [2018-06-10 11:33:39,827] - Resmgr::initialize: KBE_RES_PATH=E:/kbengine/kbe/res/;E:/kbengine/assets/;E:/kbengine/assets/scripts/;E:/kbengine/assets/res/
  INFO root [2018-06-10 11:33:39,827] - Resmgr::initialize: KBE_BIN_PATH=E:/kbengine/kbe/bin/server/
  INFO root [2018-06-10 11:33:39,854] - NetworkInterface::initialize(INTERNAL): bound to all interfaces with default route interface on 192.168.0.103 ( 192.168.0.103:50843 )
