  INFO root [2018-10-30 00:56:26,269] - Components::findComponents: find dbmgr(2)...
  INFO root [2018-10-30 00:56:26,371] - Components::findComponents: found dbmgr, addr:192.168.0.107:49822
  INFO root [2018-10-30 00:56:26,371] - Components::addComponent: reset orderLog, uid=19339!
  INFO root [2018-10-30 00:56:26,372] - Components::addComponent[dbmgr], uid=19339, componentID=4000, globalorderid=1, grouporderid=1, totalcount=1
  INFO root [2018-10-30 00:56:26,372] - Components::findComponents: found dbmgr, addr:192.168.0.107:49822
  WARN root [2018-10-30 00:56:27,372] - Forwarding logs to logger[192.168.0.107:49824/0/0/0]...
 ERROR root [2018-10-30 01:01:04,073] - Components::removeComponentByChannel: logger : 2000, Abnormal exit! errorno=10054
  INFO root [2018-10-30 01:01:04,076] - The following logs sent to logger failed:
  WARN root [2018-10-30 01:01:04,076] - ==> [2018-10-30 01:01:04 071] TCPPacketReceiver::processPendingEvents(192.168.0.107:49824): Throwing REASON_GENERAL_NETWORK - WSAECONNRESET
 ERROR root [2018-10-30 01:01:04,076] - ==> [2018-10-30 01:01:04 073] Components::removeComponentByChannel: logger : 2000, Abnormal exit! errorno=10054
  WARN root [2018-10-30 01:01:04,120] - TCPPacketReceiver::processPendingEvents(192.168.0.107:49822): Throwing REASON_GENERAL_NETWORK - WSAECONNRESET
 ERROR root [2018-10-30 01:01:04,121] - Components::removeComponentByChannel: dbmgr : 4000, Abnormal exit! errorno=10054
  INFO root [2018-10-30 01:01:04,124] - Shutdowner::onShutdownBegin: shutting down(period=0, tickPeriod=1)
  INFO root [2018-10-30 01:01:04,132] - Shutdowner::onShutdown: shutting down
  INFO root [2018-10-30 01:01:04,132] - Shutdowner::onShutdownEnd: shutting down
 DEBUG root [2018-10-30 01:01:04,132] - ThreadPool::destroy(): starting size 2.
  INFO root [2018-10-30 01:01:05,211] - 
  INFO root [2018-10-30 01:01:05,211] - -----------------------------------------------------------------------------------------


  INFO root [2018-10-30 01:01:05,212] - Resmgr::initialize: KBE_ROOT=E:/kbengine/
  INFO root [2018-10-30 01:01:05,212] - Resmgr::initialize: KBE_RES_PATH=E:/kbengine/kbe/res/;E:/kbengine/assets/;E:/kbengine/assets/scripts/;E:/kbengine/assets/res/
  INFO root [2018-10-30 01:01:05,212] - Resmgr::initialize: KBE_BIN_PATH=E:/kbengine/kbe/bin/server/
  INFO root [2018-10-30 01:01:05,226] - NetworkInterface::initialize(INTERNAL): bound to all interfaces with default route interface on 192.168.0.107 ( 192.168.0.107:50271 )
  INFO root [2018-10-30 01:01:05,226] - NetworkInterface::initialize(INTERNAL): address 192.168.0.107:50271, SOMAXCONN=5.
  INFO root [2018-10-30 01:01:05,226] - server-configs:
  INFO root [2018-10-30 01:01:05,226] - 	internalAddr : 192.168.0.107:50271
  INFO root [2018-10-30 01:01:05,226] - 	componentID : 5000
  INFO root [2018-10-30 01:01:06,741] - ---- baseappmgr Version: 2.0.0. ScriptVersion: 0.1.0. Protocol: EE09E8FDB2CCFCF3A31D35776E8954CE. Config: Debug X86. Built: 15:53:05 Apr 29 2018. AppID: 5000. UID: 20276. PID: 7460 ----
  INFO root [2018-10-30 01:01:06,743] - Server : Intel(R) Xeon(R) CPU E3-1230 v3 @ 3.30GHz with 4194303kB RAM
  INFO root [2018-10-30 01:01:06,744] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2018-10-30 01:01:06,745] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
  INFO root [2018-10-30 01:01:07,103] - ---- baseappmgr is running ----
 DEBUG root [2018-10-30 01:01:07,104] - Components::process(): Request for the process of identity...
  INFO root [2018-10-30 01:01:14,245] - Components::findComponents: find logger(1)...
  INFO root [2018-10-30 01:01:14,342] - Components::findComponents: found logger, addr:192.168.0.107:50276
  INFO root [2018-10-30 01:01:14,342] - Components::addComponent: reset orderLog, uid=20276!
  INFO root [2018-10-30 01:01:14,343] - Components::addComponent[logger], uid=20276, componentID=2000, globalorderid=1, grouporderid=1, totalcount=1
  INFO root [2018-10-30 01:01:14,345] - Components::findComponents: find dbmgr(2)...
  INFO root [2018-10-30 01:01:14,445] - Components::findComponents: found dbmgr, addr:192.168.0.107:50277
  INFO root [2018-10-30 01:01:14,446] - Components::addComponent: reset orderLog, uid=20276!
  INFO root [2018-10-30 01:01:14,446] - Components::addComponent[dbmgr], uid=20276, componentID=4000, globalorderid=1, grouporderid=1, totalcount=1
  INFO root [2018-10-30 01:01:14,446] - Components::findComponents: found dbmgr, addr:192.168.0.107:50277
  WARN root [2018-10-30 01:01:15,447] - Forwarding logs to logger[192.168.0.107:50276/0/0/0]...
 ERROR root [2018-10-30 01:04:06,314] - Components::removeComponentByChannel: logger : 2000, Abnormal exit! errorno=10054
  INFO root [2018-10-30 01:04:06,317] - The following logs sent to logger failed:
  WARN root [2018-10-30 01:04:06,317] - ==> [2018-10-30 01:04:06 312] TCPPacketReceiver::processPendingEvents(192.168.0.107:50276): Throwing REASON_GENERAL_NETWORK - WSAECONNRESET
 ERROR root [2018-10-30 01:04:06,317] - ==> [2018-10-30 01:04:06 314] Components::removeComponentByChannel: logger : 2000, Abnormal exit! errorno=10054
  WARN root [2018-10-30 01:04:06,360] - TCPPacketReceiver::processPendingEvents(192.168.0.107:50277): Throwing REASON_GENERAL_NETWORK - WSAECONNRESET
 ERROR root [2018-10-30 01:04:06,361] - Components::removeComponentByChannel: dbmgr : 4000, Abnormal exit! errorno=10054
  INFO root [2018-10-30 01:04:06,365] - Shutdowner::onShutdownBegin: shutting down(period=0, tickPeriod=1)
  INFO root [2018-10-30 01:04:06,366] - Shutdowner::onShutdown: shutting down
  INFO root [2018-10-30 01:04:06,366] - Shutdowner::onShutdownEnd: shutting down
 DEBUG root [2018-10-30 01:04:06,367] - ThreadPool::destroy(): starting size 2.
  INFO root [2018-10-30 01:04:07,445] - 
  INFO root [2018-10-30 01:04:07,446] - -----------------------------------------------------------------------------------------


  INFO root [2018-10-30 01:04:07,446] - Resmgr::initialize: KBE_ROOT=E:/kbengine/
